time,solar,meter_load,building_load,opt_load,opt_load_intplt,inverter_control
2023-01-18 20:00:00,-97.33333333333333,-25573.025130206664,-25475.691796873332,3869.6000000000004,3869.6000000000004,-29442.625130206667
2023-01-18 20:15:00,0.0,-26469.39348958,-26469.39348958,4062.2999999999997,4062.2999999999997,-30531.69348958
2023-01-18 20:30:00,-93.0,-25578.10117186,-25485.10117186,4586.700000000001,4586.700000000001,-30164.80117186
2023-01-18 20:45:00,-93.0,-25398.971875,-25305.971875,5096.3,5096.3,-30495.271875
2023-01-18 21:00:00,-93.0,-21367.839322913333,-21274.839322913333,6226.9,6226.9,-27594.73932291333
2023-01-18 21:15:00,-93.0,-20697.397135426665,-20604.397135426665,7079.5,7079.5,-27776.897135426665
2023-01-18 21:30:00,-106.0,-20728.248307286667,-20622.248307286667,8017.200000000001,8017.200000000001,-28745.448307286668
2023-01-18 21:45:00,-106.0,-21403.794401059997,-21297.794401059997,9075.2,9075.2,-30478.994401059997
2023-01-18 22:00:00,-93.0,-21530.569921879996,-21437.569921879996,10524.0,10524.0,-32054.569921879996
2023-01-18 22:15:00,0.0,-20381.22786458,-20381.22786458,12661.0,12661.0,-33042.227864579996
2023-01-18 22:30:00,-93.0,-19617.0265625,-19524.0265625,15548.0,15548.0,-35165.0265625
2023-01-18 22:45:00,-93.0,-19605.509635413335,-19512.509635413335,19315.0,19315.0,-38920.509635413335
2023-01-18 23:00:00,-93.0,-20226.08085937333,-20133.08085937333,24579.0,24579.0,-44805.08085937333
2023-01-18 23:15:00,-106.0,-20333.253906246668,-20227.253906246668,33050.0,33050.0,-53383.25390624667
2023-01-18 23:30:00,-93.0,-19550.41901042,-19457.41901042,48039.0,48039.0,-67589.41901042
2023-01-18 23:45:00,-93.0,-19563.051953146667,-19470.051953146667,80623.0,14076.0,-33639.05195314667
2023-01-19 00:00:00,-93.0,-20072.90989584,-19979.90989584,-19887.0,-19887.0,-185.90989583999908
2023-01-19 00:15:00,-93.0,-19692.63203125333,-19599.63203125333,-19838.0,-19838.0,145.36796874666834
2023-01-19 00:30:00,-93.0,-18246.78717448,-18153.78717448,-19261.0,-19261.0,1014.2128255200005
2023-01-19 00:45:00,-93.0,-14111.735481766666,-14018.735481766666,-18011.0,-18011.0,3899.2645182333345
2023-01-19 01:00:00,-93.0,-13492.538736993334,-13399.538736993334,-17729.0,-17729.0,4236.461263006666
2023-01-19 01:15:00,-93.0,-13490.70891928,-13397.70891928,-17581.0,-17581.0,4090.2910807200005
2023-01-19 01:30:00,-93.0,-14448.883528646667,-14355.883528646667,-17471.0,-17471.0,3022.1164713533326
2023-01-19 01:45:00,-106.0,-15045.954492179999,-14939.954492179999,-17362.0,-17362.0,2316.045507820001
2023-01-19 02:00:00,-93.0,-14110.53678386,-14017.53678386,-17241.0,-17241.0,3130.4632161400004
2023-01-19 02:15:00,-93.0,-14378.939778646667,-14285.939778646667,-17134.0,-17134.0,2755.060221353333
2023-01-19 02:30:00,-93.0,-13706.73177084,-13613.73177084,-17023.0,-17023.0,3316.2682291599995
2023-01-19 02:45:00,-106.0,-14009.570638026666,-13903.570638026666,-16929.0,-16929.0,2919.4293619733344
2023-01-19 03:00:00,-93.0,-13851.658398419999,-13758.658398419999,-16837.0,-16837.0,2985.341601580001
2023-01-19 03:15:00,-93.0,-13533.11757814,-13440.11757814,-16750.0,-16750.0,3216.8824218600002
2023-01-19 03:30:00,-93.0,-13196.179947913333,-13103.179947913333,-16668.0,-16668.0,3471.8200520866667
2023-01-19 03:45:00,-93.0,-13449.32122396,-13356.32122396,-16598.0,-16598.0,3148.6787760400002
2023-01-19 04:00:00,-106.0,-13890.611848966666,-13784.611848966666,-16533.0,-16533.0,2642.388151033334
2023-01-19 04:15:00,-93.0,-13751.908593746666,-13658.908593746666,-16466.0,-16466.0,2714.091406253334
2023-01-19 04:30:00,-96.71428571428572,-13583.192513006665,-13486.478227292379,-16400.0,-16400.0,2816.8074869933353
2023-01-19 04:45:00,-97.0,-14357.047591146667,-14260.047591146667,-16344.000000000002,-16344.000000000002,1986.9524088533344
2023-01-19 05:00:00,-98.93333333333334,-14022.86054688,-13923.927213546667,-16277.999999999998,-16277.999999999998,2255.1394531199985
2023-01-19 05:15:00,-95.4,-13733.227864586666,-13637.827864586667,-16213.000000000002,-16213.000000000002,2479.7721354133355
2023-01-19 05:30:00,-96.13333333333334,-14166.448893233335,-14070.315559900002,-16152.000000000002,-16152.000000000002,1985.5511067666666
2023-01-19 05:45:00,-96.26666666666667,-14651.083658853333,-14554.816992186667,-16088.000000000002,-16088.000000000002,1436.9163411466689
2023-01-19 06:00:00,-93.19999999999999,-18762.65820312,-18669.45820312,-16042.000000000002,-16042.000000000002,-2720.6582031199996
2023-01-19 06:15:00,-153.33333333333331,-18362.416276046664,-18209.082942713332,-15957.0,-15957.0,-2405.4162760466643
2023-01-19 06:30:00,-125.26666666666667,-21959.97018228,-21834.703515613335,-15881.0,-15881.0,-6078.970182280002
2023-01-19 06:45:00,2093.2,-24219.975911453334,-26313.175911453334,-15775.0,-15775.0,-8444.975911453334
2023-01-19 07:00:00,4045.1999999999994,-24356.005729166667,-28401.205729166668,-15621.0,-15621.0,-8735.005729166667
2023-01-19 07:15:00,5611.733333333334,-22337.544531246665,-27949.27786458,-15397.0,-15397.0,-6940.544531246665
2023-01-19 07:30:00,12120.733333333334,-20214.732161453336,-32335.46549478667,-15062.0,-15062.0,-5152.732161453336
2023-01-19 07:45:00,19858.399999999998,-16838.363281253332,-36696.76328125333,-14480.0,-14480.0,-2358.3632812533324
