time,load,opt_load,solar,net_load,ivt
01:00:00 PM,44968.4,-22086.8,1008.2819999999999,-55859.8,-33773.0
01:15:00 PM,49715.8,-21924.7,1008.4673333333299,-51130.933333333305,-29206.2333333333
01:30:00 PM,51044.8,-21879.0,1007.952,-49750.4,-27871.4
01:45:00 PM,50936.4,-21876.6,1008.146,-49878.2,-28001.6
02:00:00 PM,49795.0,-21898.2,1007.74066666667,-50979.066666666695,-29080.866666666698
02:15:00 PM,52835.700000000004,-21747.1,1008.46066666667,-48010.3666666667,-26263.2666666667
02:30:00 PM,46757.5,-21941.1,1008.5353333333298,-54096.033333333304,-32154.933333333305
02:45:00 PM,54495.8,-21578.3,1008.0046666666701,-46304.6666666667,-24726.366666666698
03:00:00 PM,46693.600000000006,-21818.3,1008.72666666667,-54179.0666666667,-32360.7666666667
03:15:00 PM,54656.1,-21426.9,1007.7460000000001,-46118.5,-24691.600000000002
03:30:00 PM,53749.8,-21375.5,1007.9380000000001,-47044.0,-25668.5
03:45:00 PM,44799.9,-21620.0,1005.47142857143,-55747.24285714289,-34127.2428571429
04:00:00 PM,45229.4,-21374.8,975.690666666667,-52339.6666666667,-30964.866666666698
04:15:00 PM,47012.4,-20967.8,916.889333333333,-44676.533333333304,-23708.733333333304
04:30:00 PM,44909.9,-20666.899999999998,845.278,-39617.9,-18951.0
04:45:00 PM,45309.2,-20308.1,779.5473333333331,-32645.533333333304,-12337.433333333302
05:00:00 PM,43909.0,-19982.199999999997,705.356666666667,-26626.666666666697,-6644.46666666667
05:15:00 PM,41740.1,-19674.3,630.596,-21319.5,-1645.2000000000103
05:30:00 PM,40378.0,-19300.6,548.204666666667,-14442.466666666698,4858.1333333333305
05:45:00 PM,38892.6,-18923.2,466.862666666667,-7793.66666666667,11129.5333333333
06:00:00 PM,35358.600000000006,-18627.7,388.02466666666703,-3443.8666666666604,15183.833333333303
06:15:00 PM,38611.9,-18088.0,306.808,7931.099999999999,26019.100000000002
06:30:00 PM,29898.800000000003,-17997.5,229.42642857142897,6956.157142857139,24953.657142857104
06:45:00 PM,36568.3,-17471.0,154.16,21152.3,38623.3
07:00:00 PM,31823.1,-17345.9,91.5673333333333,22666.366666666698,40012.26666666671
07:15:00 PM,33759.5,-17163.0,37.6386666666667,29995.633333333302,47158.6333333333
07:30:00 PM,34566.4,-17096.2,3.730666666666671,34193.3333333333,51289.533333333304
07:45:00 PM,32350.2,-17099.399999999998,-2.76733333333333,32626.933333333298,49726.3333333333
08:00:00 PM,35194.0,-17108.899999999998,-0.9300000000000002,35287.0,52395.899999999994
08:15:00 PM,30040.5,-17200.9,-0.9560000000000001,30136.1,47336.99999999999
08:30:00 PM,33980.8,-17250.9,-1.06,34086.799999999996,51337.7
08:45:00 PM,30102.399999999998,-17405.899999999998,-0.9300000000000002,30195.399999999998,47601.3
09:00:00 PM,28992.100000000002,-17570.0,-0.9300000000000002,29085.100000000002,46655.1
09:15:00 PM,29781.5,-17731.5,-0.9300000000000002,29874.5,47606.0
09:30:00 PM,27136.5,-17984.0,-0.9300000000000002,27229.5,45213.5
09:45:00 PM,26389.199999999997,-18228.8,-0.9300000000000002,26482.199999999997,44711.00000000001
10:00:00 PM,25373.0,-18506.1,-0.9300000000000002,25465.999999999996,43972.1
10:15:00 PM,19332.7,-18942.1,-0.79,19411.7,38353.8
10:30:00 PM,23263.7,-19175.4,-0.9300000000000002,23356.7,42532.1
10:45:00 PM,25188.7,-19556.899999999998,-0.9300000000000002,25281.7,44838.6
11:00:00 PM,25231.5,-20209.2,-0.9300000000000002,25324.5,45533.700000000004
11:15:00 PM,24633.4,-21240.2,-0.9300000000000002,24726.4,45966.6
11:30:00 PM,25978.7,-22224.399999999998,-0.9300000000000002,26071.7,48296.100000000006
11:45:00 PM,19880.3,-80211.7,-0.9199999999999999,19972.3,48968.0
